,Company,PriceRs.,Day HighRs.
0,Axis Bank,1237.45,1246.00
1,Chambal Fert & Chem,517.10,574.35
2,CE Info Systems,2531.50,2747.85
3,Fert Chem Travancore,1134.45,1187.00
4,RCF,207.79,227.70
5,Titagarh Railsystems,1582.70,1614.00
6,Tech Mahindra,1399.80,1440.30
7,National Fertilizers,141.00,155.50
8,JSW Infrastructure,309.90,317.95
9,Suzlon Energy,53.05,53.05
10,Kalyan Jewell.India,453.00,464.95
11,Gravita India,1533.45,1635.00
12,JSW Energy,723.65,728.00
13,SamvardhanaMotherson,187.72,189.30
14,Time Technoplast,337.30,352.25
